ID;Título;Comentário;Histórico;"Atividades ";Origem;Endereço;"Editado em";"Criado em";"Criado Por";Status;Gravidade;Responsável;Ativo;Bairro;Solicitante
59995;"SEMÁFORO NO PISCANTE";"Controladora 9039 (Estrada Francisco da Cruz Nunes x Rotatoria de Cafubá) - No piscante. 
Obs: Semaforica e operacional acionados para o local. Equipe semaforica no local.";"Controladora 9039 (Estrada Francisco da Cruz Nunes x Rotatoria de Cafubá) - No piscante. 
Obs: Semaforica e operacional acionados para o local. Equipe semaforica no local.O campo Número do Chamado foi assinalado como 260611093594O campo Pasta foi assinalado como 311-20260611093546O campo Título foi assinalado como SEMÁFORO NO PISCANTEO campo Bairro foi assinalado como CafubáO campo Endereço foi assinalado como Estrada Francisco da Cruz NunesO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CCOO campo Origem foi assinalado como MonitoramentoO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim";;Monitoramento;"Estrada Francisco da Cruz Nunes";;"2026-06-11 09:36:00";"BRUNO SANTANA";Aberta;Baixa;;Sim;Cafubá;CCO
59941;"AÇÃO SOCIAL";;"O campo Número do Chamado foi assinalado como 260611092567O campo Pasta foi assinalado como 266-20260611092558O campo Título foi assinalado como AÇÃO SOCIALO campo Bairro foi assinalado como São DomingosO campo Endereço foi assinalado como Rua Coronel  Tamarindo O campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Paulo Davi - supervisor O campo Origem foi assinalado como CISPO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente. | O campo Origem foi assinalado como Operacional";;Operacional;"Rua Coronel  Tamarindo ";"2026-06-11 10:35:00";"2026-06-11 09:28:00";ROSIANE;Encerrada;Baixa;;Sim;"São Domingos";"Paulo Davi - supervisor "
59939;"AÇÃO SOCIAL";;"Praça ArariboiaO campo Número do Chamado foi assinalado como 260611092466O campo Pasta foi assinalado como 266-20260611092450O campo Título foi assinalado como AÇÃO SOCIALO campo Bairro foi assinalado como CentroO campo Endereço foi assinalado como Avenida Visconde do Rio BrancoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Paulo Davi - supervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Operacional;"Avenida Visconde do Rio Branco";"2026-06-11 09:32:00";"2026-06-11 09:25:00";ROSIANE;Encerrada;Baixa;;Sim;Centro;"Paulo Davi - supervisor"
59937;"AÇÃO SOCIAL";;"ZeladoriaO campo Número do Chamado foi assinalado como 260611091565O campo Pasta foi assinalado como 266-20260611091550O campo Título foi assinalado como AÇÃO SOCIALO campo Bairro foi assinalado como CentroO campo Endereço foi assinalado como Avenida Jansen de MeloO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Paulo Davi - supervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Operacional;"Avenida Jansen de Melo";"2026-06-11 09:32:00";"2026-06-11 09:16:00";ROSIANE;Encerrada;Baixa;;Sim;Centro;"Paulo Davi - supervisor"
59993;"APOIO OPERACIONAL";"Operação moto barulhenta na Rua Santa Rosa em frente ao Salesianos.";"Operação moto barulhenta na Rua Santa Rosa em frente ao Salesianos.O campo Número do Chamado foi assinalado como 260611090693O campo Pasta foi assinalado como 311-20260611090622O campo Título foi assinalado como APOIO OPERACIONALO campo Bairro foi assinalado como Santa RosaO campo Endereço foi assinalado como Rua Santa RosaO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CCOO campo Origem foi assinalado como MonitoramentoO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim";;Monitoramento;"Rua Santa Rosa";;"2026-06-11 09:07:00";"BRUNO SANTANA";Aberta;Baixa;;Sim;"Santa Rosa";CCO
59991;"FISCALIZAÇÃO  ";;"Estamos com umveiculo estacionado de forma irregular na Praia de Icaraí com Rua Mariz e Barro, dificultando a conversão de veículos maiores.O campo Número do Chamado foi assinalado como 260611085092O campo Pasta foi assinalado como 311-20260611085009O campo Título foi assinalado como FISCALIZAÇÃO  O campo Bairro foi assinalado como IcaraíO campo Endereço foi assinalado como Rua Mariz e BarrosO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CCOO campo Origem foi assinalado como MonitoramentoO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Monitoramento;"Rua Mariz e Barros";"2026-06-11 09:05:00";"2026-06-11 08:50:00";"BRUNO SANTANA";Encerrada;Baixa;;Sim;Icaraí;CCO
59935;"SINISTRO ATROPELAMENTO";;"Atropelamento com atendimento CBMERJ e operacional no apoio - em frente ao nº1235.O campo Número do Chamado foi assinalado como 260611082864O campo Pasta foi assinalado como 359-20260611082849O campo Título foi assinalado como SINISTRO ATROPELAMENTOO campo Bairro foi assinalado como Maria PaulaO campo Endereço foi assinalado como ESTRADA VELHA DE MARICÁ O campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram assinaladas como: 3xO campo Gravidade foi assinalado como MédiaO campo Solicitante foi assinalado como SUPERVISOR CARLOS EDUARDOO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";#1_34_C#1_1_C#1_30_C#;Operacional;"ESTRADA VELHA DE MARICÁ ";"2026-06-11 09:32:00";"2026-06-11 08:31:00";"FLAVIO SA";Encerrada;Média;;Sim;"Maria Paula";"SUPERVISOR CARLOS EDUARDO"
59989;ENEL;;"Caminhão da Enel realizando manutenção na Praia de Icarai com Rua Miguel de Frias.O campo Número do Chamado foi assinalado como 260611075291O campo Pasta foi assinalado como 311-20260611075253O campo Título foi assinalado como ENELO campo Bairro foi assinalado como IcaraíO campo Endereço foi assinalado como Rua Miguel de FriasO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CCOO campo Origem foi assinalado como MonitoramentoO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Monitoramento;"Rua Miguel de Frias";"2026-06-11 09:19:00";"2026-06-11 07:55:00";"BRUNO SANTANA";Encerrada;Baixa;;Sim;Icaraí;CCO
59933;"QUEDA DE ÁRVORE";"ÁRVORE REMOVIDA PELA SECONSER.";"árvore caída em frente ao supermercado Prix na Rua Gavião Peixoto - demanda encaminhada para MariahO campo Número do Chamado foi assinalado como 260611072363O campo Pasta foi assinalado como 359-20260611072356O campo Título foi assinalado como QUEDA DE ÁRVOREO campo Bairro foi assinalado como IcaraíO campo Endereço foi assinalado como RUA GAVIÃO PEIXOTOO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram assinaladas como: 3xO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CCO MOBILIDADEO campo Origem foi assinalado como MonitoramentoO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Seconser no local | ÁRVORE REMOVIDA PELA SECONSER.As atividades foram excluídasO campo Status foi assinalado como Encerrado";;Monitoramento;"RUA GAVIÃO PEIXOTO";"2026-06-11 10:28:00";"2026-06-11 07:24:00";"FLAVIO SA";Encerrada;Baixa;;Sim;Icaraí;"CCO MOBILIDADE"
59931;"ACIONAMENTO DE REBOQUE NITTRANS";;"Caminhão enguiçado na Alameda São Boaventura antes da João Brasil sentido Alcântara reboque acionadoO campo Número do Chamado foi assinalado como 260611072262O campo Pasta foi assinalado como 359-20260611072232O campo Título foi assinalado como ACIONAMENTO DE REBOQUE NITTRANSO campo Bairro foi assinalado como FonsecaO campo Endereço foi assinalado como ALAMEDA SÃO BOAVENTURA O campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como SUPERVISOR WILLIAMO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Operacional;"ALAMEDA SÃO BOAVENTURA ";"2026-06-11 09:31:00";"2026-06-11 07:23:00";"FLAVIO SA";Encerrada;Baixa;;Sim;Fonseca;"SUPERVISOR WILLIAM"
59929;"VEÍCULO ENGUIÇADO";;"Caminhão enguiçado na Alameda São Boaventura antes da João Brasil sentido Alcântara reboque acionadoO campo Número do Chamado foi assinalado como 260611072061O campo Pasta foi assinalado como 359-20260611072038O campo Título foi assinalado como VEÍCULO ENGUIÇADOO campo Bairro foi assinalado como FonsecaO campo Endereço foi assinalado como Alameda São BoaventuraO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram assinaladas como: 4xO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Supervisor WilliamO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";#1_34_C#1_12_C#1_1_C#1_30_C#;Operacional;"Alameda São Boaventura";"2026-06-11 09:31:00";"2026-06-11 07:22:00";"FLAVIO SA";Encerrada;Baixa;;Sim;Fonseca;"Supervisor William"
59927;DISPOSITIVO;ENCERRADO;"Dispositivo montadoO campo Número do Chamado foi assinalado como 260611065260O campo Pasta foi assinalado como 299-20260611065235O campo Título foi assinalado como DISPOSITIVOO campo Bairro foi assinalado como Santa RosaO campo Endereço foi assinalado como Rua Noronha TorrezãoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Moisés - SupervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente. | ENCERRADOO campo Status foi assinalado como Encerrado";;Operacional;"Rua Noronha Torrezão";"2026-06-11 04:29:00";"2026-06-11 06:54:00";SIMONE;Encerrada;Baixa;;Sim;"Santa Rosa";"Moisés - Supervisor"
59925;"ACIONAMENTO DE REBOQUE NITTRANS";"VIA LIBERADA";"Caminhão com a barra de transmissão quebrada no retorno do Hortifruti. Solicitação do reboque pesado.O campo Número do Chamado foi assinalado como 260611064659O campo Pasta foi assinalado como 299-20260611064635O campo Título foi assinalado como ACIONAMENTO DE REBOQUE NITTRANSO campo Bairro foi assinalado como MaravistaO campo Endereço foi assinalado como  Avenida Dr. Eduardo Lúcio Rodrigues PicançoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Magno - SupervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente. | VIA LIBERADAO campo Status foi assinalado como Encerrado";;Operacional;" Avenida Dr. Eduardo Lúcio Rodrigues Picanço";"2026-06-11 07:49:00";"2026-06-11 06:47:00";SIMONE;Encerrada;Baixa;;Sim;Maravista;"Magno - Supervisor"
59923;"VEÍCULO ENGUIÇADO";"VIA LIBERADA";"Caminhão com a barra de transmissão quebrada no retorno do Hortifruti. Solicitação do reboque pesado.O campo Número do Chamado foi assinalado como 260611064458O campo Pasta foi assinalado como 299-20260611064405O campo Título foi assinalado como VEÍCULO ENGUIÇADOO campo Bairro foi assinalado como MaravistaO campo Endereço foi assinalado como  Avenida Dr. Eduardo Lúcio Rodrigues PicançoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram assinaladas como: 4xO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como Magno - SupervisorO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente. | VIA LIBERADAAs atividades foram excluídasO campo Status foi assinalado como Encerrado";;Operacional;" Avenida Dr. Eduardo Lúcio Rodrigues Picanço";"2026-06-11 07:49:00";"2026-06-11 06:46:00";SIMONE;Encerrada;Baixa;;Sim;Maravista;"Magno - Supervisor"
59987;"VEÍCULO ENGUIÇADO";;"AUTO ENGUIÇADO SOBRE PASSEIO - AV. FELICIANO SODRÉ X AV. JANSEN DE MELO.O campo Número do Chamado foi assinalado como 260611061890O campo Pasta foi assinalado como 359-20260611061837O campo Título foi assinalado como VEÍCULO ENGUIÇADOO campo Bairro foi assinalado como CentroO campo Endereço foi assinalado como AV. FELICIANO SODRÉO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram excluídasO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CCO MOBILIDADEO campo Origem foi assinalado como MonitoramentoO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente.";;Monitoramento;"AV. FELICIANO SODRÉ";"2026-06-11 09:21:00";"2026-06-11 06:20:00";"FLAVIO SA";Encerrada;Baixa;;Sim;Centro;"CCO MOBILIDADE"
59921;"PROBLEMA NO PMV";"REESTABELECIDO ";"Problema no led. Aberto o VIA.O campo Número do Chamado foi assinalado como 260611060957O campo Pasta foi assinalado como 299-20260611060959O campo Título foi assinalado como PROBLEMA NO PMVO campo Bairro foi assinalado como CentroO campo Endereço foi assinalado como Avenida Visconde do Rio BrancoO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CCO O campo Origem foi assinalado como MonitoramentoO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | Visualizou esse Registro de Incidente. | REESTABELECIDO O campo Status foi assinalado como Encerrado";;Monitoramento;"Avenida Visconde do Rio Branco";"2026-06-11 06:59:00";"2026-06-11 06:11:00";SIMONE;Encerrada;Baixa;;Sim;Centro;"CCO "
59985;"ACIONAMENTO DE REBOQUE PARTICULAR";"VIA LIBERADA";"AUTO ENGUIÇADO NA ENTRADA DE SANTA BÁRBARA - OPERACIONAL LOCAL - REBOQUE PARTICULAR ACIONADO.O campo Número do Chamado foi assinalado como 260611060189O campo Pasta foi assinalado como 359-20260611060100O campo Título foi assinalado como ACIONAMENTO DE REBOQUE PARTICULARO campo Bairro foi assinalado como Santa RosaO campo Endereço foi assinalado como RODOVIA AMARAL PEIXOTOO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como CONTRIBUINTE O campo Origem foi assinalado como ContribuinteO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | VIA LIBERADA";;Contribuinte;"RODOVIA AMARAL PEIXOTO";"2026-06-11 06:17:00";"2026-06-11 06:01:00";"FLAVIO SA";Encerrada;Baixa;;Sim;"Santa Rosa";"CONTRIBUINTE "
59983;"VEÍCULO ENGUIÇADO";"VIA LIBERADA";"AUTO ENGUIÇADO NA ENTRADA DE SANTA BÁRBARA - OPERACIONAL LOCAL - REBOQUE PARTICULAR ACIONADO.O campo Número do Chamado foi assinalado como 260611055988O campo Pasta foi assinalado como 359-20260611055906O campo Título foi assinalado como VEÍCULO ENGUIÇADOO campo Bairro foi assinalado como Santa BárbaraO campo Endereço foi assinalado como RODOVIA AMARAL PEIXOTOO campo Número foi apagadoO campo Rota foi apagadoO campo Estado foi apagadoO campo CEP foi apagadoO campo País foi apagadoO campo Coordenadas foi apagadoAs atividades foram excluídasO campo Gravidade foi assinalado como BaixaO campo Solicitante foi assinalado como SUPERVISOR JEFTHO campo Origem foi assinalado como OperacionalO campo Status foi assinalado como AbertoO campo Ativo foi assinalado como Sim | VIA LIBERADA";;Operacional;"RODOVIA AMARAL PEIXOTO";"2026-06-11 06:17:00";"2026-06-11 06:00:00";"FLAVIO SA";Encerrada;Baixa;;Sim;"Santa Bárbara";"SUPERVISOR JEFTH"
